age,GMST
1.358,1.73
1.359,1.76
1.36,1.72
1.361,1.73
1.362,1.70
1.363,1.59
1.364,1.35
1.365,1.08
1.366,0.85
1.367,0.46
1.368,0.28
1.369,0.09
1.37,-0.35
1.371,-0.65
1.372,-1.01
1.373,-1.21
1.374,-1.42
1.375,-1.36
1.376,-1.57
1.377,-1.60
1.378,-1.48
1.379,-1.55
1.38,-1.58
1.381,-1.59
1.382,-1.49
1.383,-1.22
1.384,-1.25
1.385,-1.03
1.386,-0.61
1.387,-0.48
1.388,-0.45
1.389,-0.43
1.39,-0.23
1.391,0.02
1.392,0.18
1.393,0.26
1.394,0.18
1.395,0.02
1.396,0.15
1.397,0.32
1.398,0.46
1.399,0.43
1.4,0.33
1.401,0.31
1.402,0.29
1.403,0.28
1.404,0.12
1.405,-0.18
1.406,-0.44
1.407,-0.62
1.408,-0.57
1.409,-0.26
1.41,-0.23
1.411,-0.29
1.412,-0.39
1.413,-0.38
1.414,-0.03
1.415,-0.02
1.416,0.20
1.417,0.37
1.418,0.18
1.419,0.13
1.42,0.20
1.421,0.30
1.422,0.35
1.423,0.34
1.424,0.39
1.425,0.51
1.426,0.54
1.427,0.57
1.428,0.65
1.429,0.63
1.43,0.57
1.431,0.80
1.432,0.94
1.433,1.04
1.434,1.30
1.435,1.36
1.436,1.28
1.437,1.36
1.438,1.34
1.439,1.37
1.44,1.38
1.441,1.51
1.442,1.50
1.443,1.54
1.444,1.55
1.445,1.64
1.446,1.60
1.447,1.58
1.448,1.48
1.449,1.34
1.45,1.03
1.451,0.73
1.452,0.36
1.453,-0.26
1.454,-0.55
1.455,-0.93
1.456,-0.83
1.457,-0.75
1.458,-0.81
1.459,-0.98
1.46,-0.95
1.461,-1.10
1.462,-1.20
1.463,-1.10
1.464,-0.97
1.465,-0.78
1.466,-0.55
1.467,-0.46
1.468,-0.35
1.469,-0.14
1.47,-0.05
1.471,0.10
1.472,0.19
1.473,0.29
1.474,0.39
1.475,0.56
1.476,0.72
1.477,0.90
1.478,1.06
1.479,1.15
1.48,1.14
1.481,1.29
1.482,1.38
1.483,1.40
1.484,1.51
1.485,1.61
1.486,1.62
1.487,1.67
1.488,1.59
1.489,1.38
1.49,1.15
1.491,0.98
1.492,0.79
1.493,0.64
1.494,0.47
1.495,0.33
1.496,0.19
1.497,-0.16
1.498,-0.27
1.499,-0.31
1.5,-0.20
1.501,-0.20
1.502,-0.21
1.503,-0.32
1.504,-0.34
1.505,-0.37
1.506,-0.32
1.507,-0.23
1.508,-0.20
1.509,-0.12
1.51,-0.01
1.511,0.04
1.512,0.26
1.513,0.39
1.514,0.49
1.515,0.54
1.516,0.55
1.517,0.53
1.518,0.65
1.519,0.68
1.52,0.65
1.521,0.71
1.522,0.48
1.523,0.51
1.524,0.51
1.525,0.37
1.526,0.32
1.527,0.25
1.528,0.36
1.529,-0.12
1.53,-0.21
1.531,-0.52
1.532,-0.60
1.533,-0.80
1.534,-0.98
1.535,-1.04
1.536,-1.05
1.537,-1.30
1.538,-1.28
1.539,-1.15
1.54,-1.01
1.541,-1.07
1.542,-1.01
1.543,-1.00
1.544,-1.01
1.545,-0.90
1.546,-0.76
1.547,-0.79
1.548,-0.72
1.549,-0.51
1.55,-0.23
1.551,0.21
1.552,0.12
1.553,-0.03
1.554,-0.07
1.555,-0.09
1.556,-0.10
1.557,0.05
1.558,0.47
1.559,0.72
1.56,0.83
1.561,0.87
1.562,0.86
1.563,0.89
1.564,1.00
1.565,0.91
1.566,0.97
1.567,0.85
1.568,0.70
1.569,0.65
1.57,0.45
1.571,0.39
1.572,0.17
1.573,0.09
1.574,-0.10
1.575,-0.28
